Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
2002,719,255,120,"1,069",(D),690,"1,347",(D),,,,,
,,,,,,,,,,,,,
"Cropland in cultivated summer fallow ...................... farms, 2007",-,-,-,-,-,11,-,3,,,,,
2002,-,-,-,-,1,5,-,1,,,,,
"acres, 2007",-,-,-,-,-,13,-,9,,,,,
2002,-,-,-,-,(D),12,-,(D),,,,,
,,,,,,,,,,,,,
"Total woodland ................................................................ farms, 2007",350,361,281,373,330,995,145,611,,,,,
2002,327,394,386,365,370,"1,248",131,645,,,,,
"acres, 2007","7,250","14,480","16,454","36,288","25,414","41,088","8,977","37,561",,,,,
2002,"7,738","16,643","21,836","41,370","29,102","48,551","12,331","42,320",,,,,
,,,,,,,,,,,,,
"Woodland pastured ..................................................... farms, 2007",246,202,160,176,161,541,49,286,,,,,
2002,196,187,209,176,182,627,39,344,,,,,
"acres, 2007","3,760","4,200","5,639","8,512","10,412","12,232","1,143","9,126",,,,,
2002,"3,170","5,180","6,711","9,600","9,372","14,834","1,098","12,202",,,,,
"Woodland not pastured ............................................... farms, 2007",163,236,188,269,231,660,112,456,,,,,
2002,184,281,283,258,254,880,105,444,,,,,
"acres, 2007","3,490","10,280","10,815","27,776","15,002","28,856","7,834","28,435",,,,,
2002,"4,568","11,463","15,125","31,770","19,730","33,717","11,233","30,118",,,,,
,,,,,,,,,,,,,
"Permanent pasture and rangeland, other than",,,,,,,,,,,,,
"cropland and woodland pastured (see text) .................. farms, 2007",463,416,309,307,314,"1,174",135,552,,,,,
2002,269,281,248,271,221,843,111,466,,,,,
"acres, 2007","21,601","15,544","19,476","28,740","18,491","48,591","6,107","35,692",,,,,
2002,"9,782","12,736","12,977","27,656","14,158","28,570","14,479","33,343",,,,,
,,,,,,,,,,,,,
"Land in farmsteads, buildings, livestock",,,,,,,,,,,,,
"facilities, ponds, roads, wasteland, etc. ......................... farms, 2007",311,296,195,243,262,784,179,467,,,,,
2002,366,351,279,270,264,"1,041",165,505,,,,,
"acres, 2007","1,658","2,054","1,596","4,203","2,364","5,029","2,970","6,039",,,,,
2002,"2,386","2,318","2,061","5,066","2,351","7,736","4,299","6,939",,,,,
"Pastureland, all types ...................................................... farms, 2007",634,529,400,408,440,"1,471",232,711,,,,,
2002,565,524,449,422,413,"1,631",219,763,,,,,
"acres, 2007","40,184","26,537","35,157","53,286","39,408","75,187","14,191","58,243",,,,,
2002,"29,199","32,818","34,523","55,652","37,156","80,364","23,768","71,605",,,,,
,,,,,,,,,,,,,
CONSERVATION PRACTICES AND CROP INSURANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Land enrolled in Conservation Reserve, Wetlands",,,,,,,,,,,,,
"Reserve, Farmable Wetlands, or Conservation",,,,,,,,,,,,,
"Reserve Enhancement Programs (see text) 1 ............... farms, 2007",-,-,-,205,135,-,221,311,,,,,
2002,-,1,-,156,115,2,119,271,,,,,
"acres, 2007",-,-,-,"13,612","10,453",-,"14,802","14,605",,,,,
2002,-,(D),-,"9,470","7,941",(D),"9,147","11,734",,,,,
,,,,,,,,,,,,,
Land enrolled in crop insurance programs,,,,,,,,,,,,,
"(see text) ....................................................................... farms, 2007",7,6,8,32,38,24,129,37,,,,,
2002,40,7,78,20,47,153,123,70,,,,,
"acres, 2007",(D),97,35,"27,946","19,831",638,"146,992","20,834",,,,,
2002,"1,677",408,368,"22,407","22,765","1,655","130,735","12,271",,,,,
ee footnote(s) at end of table.,,,,,,,,#NAME?,,,,,
Item,Henry,Hickman,Houston,Humphreys,Jackson,Jefferson,Johnson,Knox,,,,,
AND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
otal cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland .............................................................farms, 2007",309,82,59,103,104,117,62,161,,,,,
2002,356,99,40,130,111,199,142,167,,,,,
"acres, 2007","18,665","3,998","2,238","7,484","4,090","3,535","1,405","2,819",,,,,
2002,"16,465","3,281","1,045","5,758","2,662","5,009","1,805","2,614",,,,,
,,,,,,,,,,,,,
Cropland idle or used for cover crops or,,,,,,,,,,,,,
"soil improvement, but not harvested and",,,,,,,,,,,,,
"not pastured or grazed (see text) ...........................farms, 2007",231,58,49,58,77,79,55,105,,,,,
2002,343,89,39,115,100,165,140,134,,,,,
"acres, 2007","10,991","2,704","1,503","3,843","2,769","1,883","1,263","1,688",,,,,
2002,"15,904","3,142",(D),"4,402","2,459","3,211","1,705","2,124",,,,,
"Cropland on which all crops failed ...........................farms, 2007",98,32,18,49,32,42,14,67,,,,,
2002,34,12,1,23,18,36,9,36,,,,,
"acres, 2007","7,674","1,294",(D),"3,641","1,321","1,644",142,(D),,,,,
2002,561,(D),(D),"1,356",203,"1,784",100,459,,,,,
,,,,,,,,,,,,,
"Cropland in cultivated summer fallow ......................farms, 2007",-,-,1,-,-,5,-,1,,,,,
2002,-,2,1,-,-,4,-,6,,,,,
"acres, 2007",-,-,(D),-,-,8,-,(D),,,,,
2002,-,(D),(D),-,-,14,-,31,,,,,
,,,,,,,,,,,,,
"otal woodland ................................................................farms, 2007",540,458,234,438,386,664,306,578,,,,,
2002,606,546,241,470,405,729,383,702,,,,,
"acres, 2007","32,547","37,518","13,958","37,531","27,496","14,032","12,568","13,815",,,,,
2002,"36,734","39,536","14,632","46,189","32,072","16,550","13,063","18,406",,,,,
,,,,,,,,,,,,,
"Woodland pastured ......................................................farms, 2007",253,224,112,203,264,438,135,315,,,,,
2002,258,267,126,199,243,447,177,387,,,,,
"acres, 2007","7,002","10,177","4,604","8,766","12,752","7,130","3,827","4,509",,,,,
2002,"6,898","10,973","3,989","8,938","12,439","7,295","4,209","5,278",,,,,
"Woodland not pastured ................................................farms, 2007",384,331,168,319,215,325,216,346,,,,,
2002,453,395,168,357,255,416,274,430,,,,,
"acres, 2007","25,545","27,341","9,354","28,765","14,744","6,902","8,741","9,306",,,,,
2002,"29,836","28,563","10,643","37,251","19,633","9,255","8,854","13,128",,,,,
,,,,,,,,,,,,,
"ermanent pasture and rangeland, other than",,,,,,,,,,,,,
"cropland and woodland pastured (see text) ...................farms, 2007",446,420,260,379,350,833,301,804,,,,,
2002,338,360,172,317,243,520,245,576,,,,,
"acres, 2007","30,792","27,380","13,488","25,383","18,181","33,902","11,281","30,300",,,,,
2002,"22,990","26,153","9,138","22,377","11,890","19,561","9,299","17,312",,,,,
,,,,,,,,,,,,,
"and in farmsteads, buildings, livestock",,,,,,,,,,,,,
"facilities, ponds, roads, wasteland, etc. .........................farms, 2007",443,321,174,252,255,640,225,550,,,,,
2002,515,393,179,342,247,684,286,669,,,,,
"acres, 2007","3,560","3,604","1,352","2,846","2,077","4,402","1,638","3,705",,,,,
2002,"7,053","3,852","1,518","3,564","2,464","4,379","2,081","4,655",,,,,
"astureland, all types ......................................................farms, 2007",621,545,320,495,478,"1,046",405,"1,005",,,,,
2002,598,644,299,561,501,"1,110",494,"1,139",,,,,
"acres, 2007","53,562","50,116","24,670","48,283","42,565","53,606","21,160","44,035",,,,,
2002,"48,312","63,003","24,471","53,531","42,355","54,327","23,959","45,829",,,,,
,,,,,,,,,,,,,
ONSERVATION PRACTICES AND CROP INSURANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"and enrolled in Conservation Reserve, Wetlands",,,,,,,,,,,,,
"Reserve, Farmable Wetlands, or Conservation",,,,,,,,,,,,,
"Reserve Enhancement Programs (see text) 1 ...............farms, 2007",264,22,-,10,-,-,-,8,,,,,
2002,230,18,-,23,1,1,-,3,,,,,
"acres, 2007","12,994",549,-,581,-,-,-,167,,,,,
2002,"11,576",614,-,569,(D),(D),-,117,,,,,
,,,,,,,,,,,,,
and enrolled in crop insurance programs,,,,,,,,,,,,,
"(see text) ........................................................................farms, 2007",139,12,2,14,8,12,18,14,,,,,
2002,139,13,5,25,29,53,115,40,,,,,
"acres, 2007","60,304","4,344",(D),"4,939","1,789","1,563",814,386,,,,,
2002,"57,798","4,878",(D),"6,442",260,731,854,455,,,,,
ee footnote(s) at end of table.,,,,,,,,#NAME?,,,,,
Item,Lake,,Lauderdale,Lawrence,Lewis,,Lincoln,Loudon,,McMinn,McNairy,,
LAND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland ............................................................ farms, 2007",16,,231,359,38,,180,87,,147,262,,
2002,15,,236,364,50,,192,99,,142,312,,
"acres, 2007",(D),,"20,307","17,316","1,385",,"7,384","2,539",,"5,720","17,792",,
2002,(D),,"21,926","14,763","1,773",,"8,413","3,504",,"2,950","20,286",,
,,,,,,,,,,,,,
Cropland idle or used for cover crops or,,,,,,,,,,,,,
"soil improvement, but not harvested and",,,,,,,,,,,,,
"not pastured or grazed (see text) .......................... farms, 2007",8,,209,288,27,,119,56,,97,229,,
2002,15,,217,337,44,,167,87,,116,294,,
"acres, 2007","1,000",,"15,593","13,339",911,,"4,280","1,354",,"2,628","14,554",,
2002,(D),,"18,003","14,335","1,696",,"7,890","2,567",,"2,463","19,067",,
"Cropland on which all crops failed ........................... farms, 2007",10,,30,91,18,,70,39,,61,58,,
2002,2,,33,32,9,,40,22,,29,34,,
"acres, 2007",(D),,"4,714","3,972",474,,"3,104",(D),,"3,092","3,238",,
2002,(D),,"3,923",378,77,,523,(D),,(D),(D),,
,,,,,,,,,,,,,
"Cropland in cultivated summer fallow ...................... farms, 2007",-,,-,3,-,,-,2,,-,-,,
2002,-,,-,6,-,,-,1,,2,1,,
"acres, 2007",-,,-,5,-,,-,(D),,-,-,,
2002,-,,-,50,-,,-,(D),,(D),(D),,
,,,,,,,,,,,,,
"Total woodland ................................................................ farms, 2007",4,,215,"1,045",175,,996,470,,728,436,,
2002,4,,198,"1,101",159,,"1,082",547,,707,445,,
"acres, 2007",374,,"13,316","46,940","12,251",,"51,333","11,846",,"26,612","32,325",,
2002,136,,"12,156","51,259","12,894",,"55,759","14,232",,"27,069","36,688",,
,,,,,,,,,,,,,
"Woodland pastured ..................................................... farms, 2007",-,,76,645,84,,700,284,,444,183,,
2002,1,,84,674,64,,753,311,,433,188,,
"acres, 2007",-,,"3,167","18,890","3,502",,"32,527","4,330",,"11,976","6,316",,
2002,(D),,"2,412","19,599","2,220",,"34,606","5,510",,"11,965","7,344",,
"Woodland not pastured ............................................... farms, 2007",4,,154,617,114,,441,283,,415,333,,
2002,4,,133,682,111,,484,351,,430,334,,
"acres, 2007",374,,"10,149","28,050","8,749",,"18,806","7,516",,"14,636","26,009",,
2002,(D),,"9,744","31,660","10,674",,"21,153","8,722",,"15,104","29,344",,
,,,,,,,,,,,,,
"Permanent pasture and rangeland, other than",,,,,,,,,,,,,
"cropland and woodland pastured (see text) .................. farms, 2007",4,,179,"1,077",183,,"1,206",499,,784,314,,
2002,5,,161,939,134,,"1,025",413,,486,320,,
"acres, 2007",(D),,"13,321","62,211","8,521",,"83,449","23,192",,"34,741","15,939",,
2002,(D),,"9,419","47,822","8,310",,"69,643","15,606",,"23,691","16,359",,
,,,,,,,,,,,,,
"Land in farmsteads, buildings, livestock",,,,,,,,,,,,,
"facilities, ponds, roads, wasteland, etc. ......................... farms, 2007",16,,185,831,110,,814,400,,540,342,,
2002,18,,198,900,122,,966,493,,531,313,,
"acres, 2007",(D),,"2,895","8,259",799,,"8,209","2,692",,"4,778","6,181",,
2002,(D),,"4,115","9,155","1,064",,"9,501","3,669",,"4,820","6,397",,
"Pastureland, all types ...................................................... farms, 2007",6,,293,"1,449",228,,"1,498",656,,"1,000",456,,
2002,7,,272,"1,479",199,,"1,664",798,,"1,000",508,,
"acres, 2007",(D),,"24,202","106,847","17,861",,"142,989","36,936",,"59,933","31,268",,
2002,"1,449",,"19,466","110,135","16,165",,"157,854","38,422",,"64,793","38,055",,
,,,,,,,,,,,,,
CONSERVATION PRACTICES AND CROP INSURANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Land enrolled in Conservation Reserve, Wetlands",,,,,,,,,,,,,
"Reserve, Farmable Wetlands, or Conservation",,,,,,,,,,,,,
"Reserve Enhancement Programs (see text) 1 ............... farms, 2007",2,,261,299,12,,43,4,,11,289,,
2002,1,,170,256,16,,55,6,,11,252,,
"acres, 2007",(D),,"17,298","18,165",249,,"1,211",85,,208,"16,516",,
2002,(D),,"12,024","12,275",589,,"2,017",95,,243,"12,756",,
,,,,,,,,,,,,,
Land enrolled in crop insurance programs,,,,,,,,,,,,,
"(see text) ....................................................................... farms, 2007",42,,73,48,4,,66,8,,20,38,,
2002,48,,152,64,3,,102,21,,29,48,,
"acres, 2007","71,893",,"107,616","24,384",(D),,"32,300","3,567",,"5,440","21,733",,
2002,"75,117",,"133,603","23,898",735,,"36,412","2,115",,"3,576","22,901",,
ee footnote(s) at end of table.,,,,,,,,,,,#NAME?,,
Item,Macon,Madison,Marion,,Marshall,Maury,Meigs,,Monroe,Montgomery,,,
AND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
otal cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland .............................................................farms, 2007",156,278,37,,108,208,65,,131,185,,,
2002,253,263,29,,135,204,64,,138,242,,,
"acres, 2007","5,728","18,367","1,834",,"5,933","9,889","2,682",,"3,761","7,632",,,
2002,"6,479","15,772",692,,"3,861","5,885","1,618",,"2,978","9,362",,,
,,,,,,,,,,,,,
Cropland idle or used for cover crops or,,,,,,,,,,,,,
"soil improvement, but not harvested and",,,,,,,,,,,,,
"not pastured or grazed (see text) ...........................farms, 2007",106,241,24,,59,153,41,,80,131,,,
2002,236,252,25,,115,185,56,,130,214,,,
"acres, 2007","2,643","13,641",797,,"2,585","4,723","1,703",,"2,631","4,844",,,
2002,"6,043","13,541",625,,"3,513","5,287","1,326",,"2,716","8,404",,,
"Cropland on which all crops failed ...........................farms, 2007",55,55,15,,55,72,28,,63,71,,,
2002,25,39,5,,22,32,10,,16,39,,,
"acres, 2007","3,085","4,726","1,037",,(D),(D),(D),,(D),"2,777",,,
2002,436,"2,231",67,,(D),(D),(D),,(D),813,,,
,,,,,,,,,,,,,
"Cropland in cultivated summer fallow ......................farms, 2007",-,-,-,,1,2,1,,2,4,,,
2002,-,-,-,,1,1,2,,1,6,,,
"acres, 2007",-,-,-,,(D),(D),(D),,(D),11,,,
2002,-,-,-,,(D),(D),(D),,(D),145,,,
,,,,,,,,,,,,,
"otal woodland ................................................................farms, 2007",682,332,202,,628,946,216,,545,499,,,
2002,865,365,155,,754,982,230,,577,624,,,
"acres, 2007","33,454","24,165","12,957",,"32,248","39,248","11,353",,"17,328","25,525",,,
2002,"42,106","24,723","14,703",,"39,370","46,552","14,420",,"18,516","36,076",,,
,,,,,,,,,,,,,
"Woodland pastured ......................................................farms, 2007",442,116,109,,485,650,128,,353,259,,,
2002,527,148,90,,540,724,129,,354,323,,,
"acres, 2007","13,469","5,215","3,270",,"20,355","23,527","4,330",,"9,089","8,915",,,
2002,"18,851","5,375","2,158",,"24,194","28,377","3,957",,"8,145","14,068",,,
"Woodland not pastured ................................................farms, 2007",401,265,125,,260,410,135,,289,367,,,
2002,528,269,88,,323,412,154,,336,430,,,
"acres, 2007","19,985","18,950","9,687",,"11,893","15,721","7,023",,"8,239","16,610",,,
2002,"23,255","19,348","12,545",,"15,176","18,175","10,463",,"10,371","22,008",,,
,,,,,,,,,,,,,
"ermanent pasture and rangeland, other than",,,,,,,,,,,,,
"cropland and woodland pastured (see text) ...................farms, 2007",669,281,280,,747,"1,135",237,,630,478,,,
2002,548,259,137,,649,913,159,,425,385,,,
"acres, 2007","34,321","13,878","11,844",,"51,278","73,315","15,133",,"28,659","32,867",,,
2002,"24,271","11,571","8,953",,"44,493","63,673","9,946",,"20,932","22,396",,,
,,,,,,,,,,,,,
"and in farmsteads, buildings, livestock",,,,,,,,,,,,,
"facilities, ponds, roads, wasteland, etc. .........................farms, 2007",504,334,157,,555,778,160,,416,439,,,
2002,674,384,130,,611,829,182,,493,525,,,
"acres, 2007","4,662","4,600","1,043",,"4,971","6,497","1,299",,"2,937","5,257",,,
2002,"4,803","5,306","1,142",,"6,056","7,063","1,481",,"3,558","5,625",,,
"astureland, all types ......................................................farms, 2007",913,391,337,,929,"1,442",307,,800,647,,,
2002,"1,087",428,247,,"1,158","1,572",297,,802,765,,,
"acres, 2007","66,513","33,925","21,944",,"89,173","129,914","26,089",,"50,646","62,037",,,
2002,"73,166","28,364","20,608",,"109,316","147,566","23,282",,"50,333","74,365",,,
,,,,,,,,,,,,,
ONSERVATION PRACTICES AND CROP INSURANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"and enrolled in Conservation Reserve, Wetlands",,,,,,,,,,,,,
"Reserve, Farmable Wetlands, or Conservation",,,,,,,,,,,,,
"Reserve Enhancement Programs (see text) 1 ...............farms, 2007",-,225,1,,7,29,7,,-,26,,,
2002,9,161,3,,11,12,4,,2,34,,,
"acres, 2007",-,"12,754",(D),,452,932,681,,-,828,,,
2002,126,"8,328",40,,487,"1,095",136,,(D),880,,,
,,,,,,,,,,,,,
and enrolled in crop insurance programs,,,,,,,,,,,,,
"(see text) ........................................................................farms, 2007",66,78,18,,16,26,4,,8,74,,,
2002,179,89,17,,36,42,4,,26,136,,,
"acres, 2007","5,336","57,937","5,806",,"6,927","11,083","1,284",,"2,364","24,417",,,
2002,"6,395","62,178","6,246",,"10,664","9,335",455,,"4,524","23,075",,,
ee footnote(s) at end of table.,,,,,,,,,,#NAME?,,,
Item,Moore,,Morgan,,Obion,Overton,Perry,,Pickett,,Polk,,Putnam
LAND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland ............................................................ farms, 2007",36,,60,,188,108,74,,44,,46,,139
2002,57,,66,,183,154,69,,61,,39,,186
"acres, 2007","1,359",,"2,639",,"13,150","3,913","3,921",,955,,"1,388",,"4,388"
2002,"1,376",,"1,507",,"10,572","4,674","2,125",,"1,120",,"1,470",,"4,362"
,,,,,,,,,,,,,
Cropland idle or used for cover crops or,,,,,,,,,,,,,
"soil improvement, but not harvested and",,,,,,,,,,,,,
"not pastured or grazed (see text) .......................... farms, 2007",26,,48,,178,65,36,,24,,31,,111
2002,52,,53,,168,137,60,,57,,36,,161
"acres, 2007",706,,"1,565",,"8,846","1,680","1,537",,731,,969,,"2,718"
2002,"1,255",,"1,195",,"8,661","4,384","1,765",,"1,043",,"1,411",,"4,101"
"Cropland on which all crops failed ........................... farms, 2007",19,,16,,16,47,49,,21,,19,,39
2002,5,,22,,19,27,12,,8,,2,,30
"acres, 2007",653,,(D),,"4,304","2,225","2,384",,224,,419,,"1,670"
2002,(D),,300,,"1,911",274,(D),,77,,(D),,261
,,,,,,,,,,,,,
"Cropland in cultivated summer fallow ...................... farms, 2007",-,,2,,-,3,-,,-,,-,,-
2002,1,,3,,-,4,1,,-,,1,,-
"acres, 2007",-,,(D),,-,8,-,,-,,-,,-
2002,(D),,12,,-,16,(D),,-,,(D),,-
,,,,,,,,,,,,,
"Total woodland ................................................................ farms, 2007",206,,306,,267,619,178,,191,,152,,613
2002,269,,284,,279,644,146,,245,,131,,742
"acres, 2007","10,252",,"16,952",,"13,646","29,184","19,557",,"7,612",,"5,876",,"28,648"
2002,"13,767",,"18,185",,"18,286","32,221","19,418",,"11,590",,"6,596",,"32,601"
,,,,,,,,,,,,,
"Woodland pastured ..................................................... farms, 2007",159,,175,,116,347,81,,121,,88,,305
2002,201,,143,,126,347,44,,131,,67,,405
"acres, 2007","7,176",,"4,526",,"3,815","9,649","5,412",,"2,266",,"1,428",,"9,452"
2002,"9,748",,"4,471",,"4,411","9,437","2,990",,"2,621",,"1,258",,"10,410"
"Woodland not pastured ............................................... farms, 2007",90,,219,,196,408,145,,113,,96,,407
2002,120,,218,,187,409,127,,164,,90,,494
"acres, 2007","3,076",,"12,426",,"9,831","19,535","14,145",,"5,346",,"4,448",,"19,196"
2002,"4,019",,"13,714",,"13,875","22,784","16,428",,"8,969",,"5,338",,"22,191"
,,,,,,,,,,,,,
"Permanent pasture and rangeland, other than",,,,,,,,,,,,,
"cropland and woodland pastured (see text) .................. farms, 2007",237,,271,,272,695,164,,250,,212,,714
2002,204,,163,,212,521,133,,141,,114,,547
"acres, 2007","18,902",,"14,017",,"21,662","32,780","11,039",,"11,916",,"7,505",,"29,527"
2002,"15,933",,"10,947",,"19,694","21,282","11,052",,"6,252",,"5,451",,"21,238"
,,,,,,,,,,,,,
"Land in farmsteads, buildings, livestock",,,,,,,,,,,,,
"facilities, ponds, roads, wasteland, etc. ......................... farms, 2007",141,,211,,269,375,101,,128,,142,,475
2002,208,,198,,322,422,128,,192,,120,,647
"acres, 2007","1,459",,"1,815",,"4,791","3,088",874,,815,,"1,236",,"4,296"
2002,"1,294",,"1,559",,"6,496","3,583","1,007",,901,,"1,224",,"5,045"
"Pastureland, all types ...................................................... farms, 2007",307,,336,,356,876,206,,314,,261,,889
2002,359,,336,,369,951,218,,310,,228,,"1,072"
"acres, 2007","34,415",,"23,704",,"33,870","58,261","22,036",,"21,172",,"14,962",,"52,636"
2002,"43,038",,"26,971",,"41,009","64,596","20,335",,"19,508",,"13,480",,"59,631"
,,,,,,,,,,,,,
CONSERVATION PRACTICES AND CROP INSURANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Land enrolled in Conservation Reserve, Wetlands",,,,,,,,,,,,,
"Reserve, Farmable Wetlands, or Conservation",,,,,,,,,,,,,
"Reserve Enhancement Programs (see text) 1 ............... farms, 2007",1,,1,,184,18,18,,3,,7,,12
2002,-,,3,,159,16,20,,7,,10,,10
"acres, 2007",(D),,(D),,"9,462",608,394,,(D),,286,,530
2002,-,,110,,"8,851",752,444,,225,,467,,567
,,,,,,,,,,,,,
Land enrolled in crop insurance programs,,,,,,,,,,,,,
"(see text) ....................................................................... farms, 2007",2,,2,,111,5,14,,13,,9,,15
2002,5,,15,,133,40,17,,17,,10,,40
"acres, 2007",(D),,(D),,"119,855",26,"1,632",,231,,"3,381",,272
2002,839,,346,,"135,100",773,"2,190",,680,,"2,833",,902
ee footnote(s) at end of table.,,,,,,,,,,,,,#NAME?
Item,Rhea,,Roane,,Robertson,Rutherford,Scott,,Sequatchie,Sevier,,Shelby,
AND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
otal cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland .............................................................farms, 2007",80,,84,,229,139,64,,29,93,,124,
2002,76,,119,,316,207,26,,29,113,,137,
"acres, 2007","3,140",,"1,946",,"15,497","7,637","2,321",,"1,003","1,881",,"6,983",
2002,"2,731",,"2,101",,"7,901","6,393",561,,"1,069","2,676",,"9,589",
,,,,,,,,,,,,,
Cropland idle or used for cover crops or,,,,,,,,,,,,,
"soil improvement, but not harvested and",,,,,,,,,,,,,
"not pastured or grazed (see text) ...........................farms, 2007",63,,62,,153,82,36,,19,74,,102,
2002,66,,101,,295,183,24,,26,97,,118,
"acres, 2007","2,286",,"1,568",,"4,253","4,410","1,573",,772,"1,696",,"5,620",
2002,"2,482",,"1,810",,"7,273","5,668",549,,"1,066","2,302",,"8,981",
"Cropland on which all crops failed ...........................farms, 2007",24,,31,,89,67,31,,14,18,,27,
2002,16,,33,,35,39,4,,3,20,,27,
"acres, 2007",854,,378,,"11,206","3,227",748,,231,179,,"1,363",
2002,249,,(D),,613,(D),12,,3,368,,608,
,,,,,,,,,,,,,
"Cropland in cultivated summer fallow ......................farms, 2007",-,,-,,6,-,-,,-,4,,-,
2002,-,,1,,6,1,-,,-,4,,-,
"acres, 2007",-,,-,,38,-,-,,-,6,,-,
2002,-,,(D),,15,(D),-,,-,6,,-,
,,,,,,,,,,,,,
"otal woodland ................................................................farms, 2007",280,,384,,759,713,165,,120,412,,222,
2002,295,,472,,805,965,202,,129,489,,212,
"acres, 2007","13,481",,"17,466",,"22,414","33,476","12,398",,"7,302","13,548",,"9,572",
2002,"14,695",,"20,314",,"22,988","46,342","14,854",,"8,149","16,359",,"10,048",
,,,,,,,,,,,,,
"Woodland pastured ......................................................farms, 2007",160,,198,,367,489,72,,60,258,,113,
2002,161,,211,,384,639,97,,47,295,,97,
"acres, 2007","3,565",,"5,222",,"8,317","19,308","2,014",,"1,515","5,873",,"2,608",
2002,"3,673",,"4,479",,"8,560","26,067","2,470",,"1,306","7,309",,"1,876",
"Woodland not pastured ................................................farms, 2007",167,,282,,509,347,126,,81,237,,138,
2002,188,,343,,547,500,155,,106,289,,146,
"acres, 2007","9,916",,"12,244",,"14,097","14,168","10,384",,"5,787","7,675",,"6,964",
2002,"11,022",,"15,835",,"14,428","20,275","12,384",,"6,843","9,050",,"8,172",
,,,,,,,,,,,,,
"ermanent pasture and rangeland, other than",,,,,,,,,,,,,
"cropland and woodland pastured (see text) ...................farms, 2007",318,,402,,776,997,148,,143,433,,312,
2002,210,,300,,646,995,94,,85,408,,308,
"acres, 2007","14,326",,"14,290",,"38,322","46,985","5,504",,"8,111","18,131",,"10,058",
2002,"11,112",,"12,669",,"33,753","49,831","3,617",,"5,180","17,782",,"20,064",
,,,,,,,,,,,,,
"and in farmsteads, buildings, livestock",,,,,,,,,,,,,
"facilities, ponds, roads, wasteland, etc. .........................farms, 2007",195,,268,,684,736,97,,72,326,,290,
2002,244,,364,,815,"1,015",116,,94,414,,373,
"acres, 2007","1,884",,"2,031",,"6,503","6,038","1,207",,667,"2,517",,"3,965",
2002,"2,231",,"2,615",,"8,276","8,182","1,460",,824,"3,348",,"4,695",
"astureland, all types ......................................................farms, 2007",394,,483,,"1,048","1,300",191,,193,568,,399,
2002,377,,572,,"1,186","1,762",232,,163,776,,469,
"acres, 2007","26,002",,"24,438",,"66,147","84,549","11,140",,"14,857","30,586",,"19,752",
2002,"27,200",,"27,800",,"81,268","120,923","13,086",,"13,599","43,680",,"30,469",
,,,,,,,,,,,,,
ONSERVATION PRACTICES AND CROP INSURANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"and enrolled in Conservation Reserve, Wetlands",,,,,,,,,,,,,
"Reserve, Farmable Wetlands, or Conservation",,,,,,,,,,,,,
"Reserve Enhancement Programs (see text) 1 ...............farms, 2007",32,,-,,20,8,-,,11,-,,70,
2002,14,,-,,18,14,-,,7,-,,67,
"acres, 2007","1,490",,-,,287,190,-,,516,-,,"3,816",
2002,"1,264",,-,,538,844,-,,236,-,,"4,385",
,,,,,,,,,,,,,
and enrolled in crop insurance programs,,,,,,,,,,,,,
"(see text) ........................................................................farms, 2007",10,,2,,130,27,6,,1,3,,25,
2002,25,,15,,220,36,5,,4,25,,43,
"acres, 2007","2,331",,(D),,"65,585","13,807",48,,(D),12,,"42,217",
2002,"2,867",,363,,"49,219","10,148",523,,566,176,,"45,139",
ee footnote(s) at end of table.,,,,,,,,,,,,#NAME?,
Item,Smith,,Stewart,,Sullivan,Sumner,Tipton,Trousdale,Unicoi,,Union,,
LAND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland ............................................................ farms, 2007",92,,65,,89,190,164,34,17,,62,,
2002,143,,63,,247,309,183,54,25,,78,,
"acres, 2007","3,963",,"3,396",,"2,304","8,055","9,849",945,(D),,"1,202",,
2002,"3,265",,"1,834",,"3,430","7,323","9,280","1,413",(D),,974,,
,,,,,,,,,,,,,
